variant_id,stop_id
800858,2899
800858,3422
802595,3422
803015,2899
803015,3422
805419,73
805422,83
805422,2482
805422,73
805440,1705
805507,1407
805507,1532
805593,1603
805593,1497
805675,4248
805675,2040
805675,1705
805676,4248
805676,2040
805676,1705
806431,1704
806432,1704
806432,2477
806432,4248
806466,1705
806466,4201
809307,1869
809315,1531
809343,1531
809343,1408
809416,1376
809416,1532
809456,1868
809478,1531
809494,1531
809536,1531
809723,568
809723,572
809873,4248
809873,2040
809873,1705
809910,4013
809910,3976
809910,4026
809910,4002
809911,4003
809911,4025
809911,3976
809911,4014
809920,1705
810473,3667
810473,3586
810558,1542
811372,1532
811821,1532
811826,1531
811827,1531
811827,1408
812502,1704
812502,2251
812502,895
812503,992
812503,1015
812503,1705
812504,1704
812504,2251
812505,1015
812505,1705
812507,3977
812507,992
812507,1705
812508,1704
812508,2251
812508,895
812512,992
812512,1015
812513,992
812513,1015
812513,1705
812516,3871
812516,992
812516,1015
812517,3871
812517,992
812517,1015
812517,1705
812518,3871
812518,992
812518,1015
812518,1705
812530,1015
812531,1015
812531,1705
812532,1015
812532,1705
812540,1705
812541,3977
812541,992
812541,1705
812556,1704
812556,2251
812556,895
812556,3870
812782,638
812782,3124
812783,3123
812783,636
812785,638
812785,3124
812785,4439
812788,4521
812788,3123
812788,636
813987,1704
813987,149
813988,148
813988,1705
813989,1704
813989,149
813990,148
813990,1705
813993,1704
813993,149
813993,912
813995,148
813996,148
813996,1705
813997,148
813997,1705
813998,153
813998,148
813998,1705
813999,153
813999,148
814000,153
814000,148
814000,1705
814001,153
814001,148
814001,1705
814002,148
814003,148
814003,1705
814004,148
814004,1705
814005,153
814005,148
814006,153
814006,148
814006,1705
814008,153
814008,148
814008,1705
814009,1704
814009,149
814009,153
814576,1249
814576,27
814599,4125
814599,4137
814599,4122
814599,3906
814599,3514
814599,3519
814603,4376
814603,4125
814603,4137
814603,4122
814603,3906
814603,3514
814603,3519
814604,4125
814604,4137
814604,4122
814681,1160
815232,469
815232,2905
815232,435
815232,1011
815233,469
815233,2905
815233,435
815233,1011
815444,539
