route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_10534645,"KRZYKI",0,818558,23,1,818558
A,3,3_10534746,"KRZYKI",0,818558,22,1,818558
A,3,3_10534851,"KRZYKI",0,818558,1,2,818558
A,3,3_10534853,"KRZYKI",0,818558,1,2,818558
A,3,3_10534855,"KRZYKI",0,818558,1,2,818558
A,3,3_10534857,"KRZYKI",0,818558,1,2,818558
A,3,3_10534859,"KRZYKI",0,818558,1,2,818558
A,3,3_10534861,"KRZYKI",0,818558,1,2,818558
A,3,3_10534863,"KRZYKI",0,818558,1,2,818558
A,3,3_10534867,"KRZYKI",0,818558,2,1,818558
A,3,3_10534869,"KRZYKI",0,818558,2,1,818558
A,3,3_10534871,"KRZYKI",0,818558,2,1,818558
A,3,3_10534873,"KRZYKI",0,818558,2,1,818558
A,3,3_10534875,"KRZYKI",0,818558,2,1,818558
A,3,3_10534877,"KRZYKI",0,818558,2,1,818558
A,3,3_10534882,"KRZYKI",0,818558,3,1,818558
A,3,3_10534884,"KRZYKI",0,818558,3,1,818558
A,3,3_10534886,"KRZYKI",0,818558,3,1,818558
A,3,3_10534888,"KRZYKI",0,818558,3,1,818558
A,3,3_10534890,"KRZYKI",0,818558,3,1,818558
A,3,3_10534892,"KRZYKI",0,818558,3,1,818558
A,3,3_10534894,"KRZYKI",0,818558,3,1,818558
A,3,3_10534898,"KRZYKI",0,818558,4,1,818558
A,3,3_10534900,"KRZYKI",0,818558,4,1,818558
A,3,3_10534902,"KRZYKI",0,818558,4,1,818558
A,3,3_10534904,"KRZYKI",0,818558,4,1,818558
A,3,3_10534906,"KRZYKI",0,818558,4,1,818558
A,3,3_10534908,"KRZYKI",0,818558,4,1,818558
A,3,3_10534913,"KRZYKI",0,818558,5,1,818558
A,3,3_10534915,"KRZYKI",0,818558,5,1,818558
A,3,3_10534917,"KRZYKI",0,818558,5,1,818558
A,3,3_10534919,"KRZYKI",0,818558,5,1,818558
A,3,3_10534921,"KRZYKI",0,818558,5,1,818558
