variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
800858,0,,,
802437,0,822078,,
802595,0,,,
803015,0,,,
804583,0,822079,,
805419,0,,,
805422,0,,,
805440,0,,,
805507,0,822078,,
805593,0,822079,,
805671,0,,,
805675,0,,,
805676,0,,,
806431,1,,,
806432,1,,,
806466,1,,,
809143,0,822079,,
809307,0,822078,,
809315,0,822079,,
809343,0,822079,,
809416,0,822078,,
809456,0,822079,,
809478,0,822079,,
809494,0,822079,,
809536,0,822079,,
809662,0,822079,,
809723,0,,,
809829,0,822078,,
809873,1,,,
809910,1,,,
809911,1,,,
809920,0,,,
810473,0,,,
810558,0,822078,,
811203,0,822078,,
811294,0,822078,,
811372,0,822078,,
811821,0,822079,,
811826,0,822078,,
811827,0,822078,,
812502,1,,,
812503,1,,,
812504,1,,,
812505,1,,,
812507,1,,,
812508,1,,,
812512,0,,,
812513,0,,,
812516,0,,,
812517,0,,,
812518,0,,,
812530,0,,,
812531,0,,,
812532,0,,,
812540,0,,,
812541,0,,,
812556,0,,,
812782,1,,,
812783,1,,,
812785,0,,,
812788,0,,,
813110,0,,,
813987,1,,,
813988,1,,,
813989,1,,,
813990,1,,,
813993,0,,,
813995,0,,,
813996,0,,,
813997,0,,,
813998,0,,,
813999,0,,,
814000,0,,,
814001,0,,,
814002,0,,,
814003,0,,,
814004,0,,,
814005,0,,,
814006,0,,,
814008,0,,,
814009,0,,,
814049,0,822079,,
814576,1,,,
814599,1,,,
814603,0,,,
814604,0,,,
814681,0,822078,,
814692,0,822079,,
815232,1,,,
815233,0,,,
815444,1,,,
815449,0,,,
815450,0,,,
815522,0,,,
815538,0,,,
815688,1,,,
815690,0,,,
815694,0,,,
815695,0,,,
815922,1,,,
815923,1,,,
815995,0,,,
815999,0,,,
816001,0,,,
816002,0,,,
816003,0,,,
816004,0,,,
816006,0,,,
816007,0,,,
816008,0,,,
816009,0,,,
816013,0,,,
816014,0,,,
816155,0,,,
816156,0,,,
816231,0,,,
816232,0,822079,,
816340,0,822079,,
816353,0,822079,,
816354,0,822078,,
816367,0,,,
816368,0,,,
816369,0,,,
816399,1,,,
816404,0,,,
816405,0,,,
816422,0,,,
816433,1,,,
816434,1,,,
816435,1,,,
816436,0,,,
816437,0,,,
816439,0,,,
816468,1,,,
816469,1,,,
816489,1,,,
816490,1,,,
816493,0,,,
816494,0,,,
816495,0,,,
816498,0,,,
816511,0,,,
816512,0,,,
816650,0,,,
816653,1,,,
816674,0,,,
816675,0,,,
816682,0,,,
816692,0,,,
816694,0,,,
816739,0,822079,,
816740,0,822078,,
816781,0,822078,,
816825,0,822079,,
816838,0,822078,,
816850,0,822078,,
817078,0,,,
817079,0,,,
817080,0,,,
817081,0,,,
817082,0,,,
817083,0,,,
817085,0,,,
817086,0,,,
817103,1,,,
817104,0,,,
817148,0,822079,,
817149,0,822078,,
817205,0,822079,,
817225,1,,,
817382,1,,,
817412,0,822078,,
817432,0,,,
817473,0,822079,,
817485,0,822079,,
817491,0,822078,,
817492,0,822078,,
817493,0,822079,,
817541,1,,,
817568,1,,,
817570,0,822078,,
817614,0,822078,,
817616,0,822079,,
817621,0,822078,,
817625,0,,,
817626,0,,,
817663,0,822078,,
817684,0,822078,,
817724,1,,,
817725,1,,,
817726,0,,,
817727,0,,,
817733,0,,,
817735,0,,,
817793,0,,,
817799,0,,,
817844,1,,,
817963,1,,,
817964,1,,,
817966,0,,,
817968,0,,,
817969,1,,,
817970,1,,,
817973,0,,,
817974,0,,,
817981,0,,,
817989,1,,,
817992,1,,,
817995,1,,,
817996,1,,,
817997,1,,,
817998,1,,,
817999,1,,,
818000,1,,,
818003,0,,,
818004,0,,,
818005,0,,,
818006,0,,,
818007,0,,,
818008,0,,,
818009,0,,,
818010,0,,,
818011,0,,,
818026,0,,,
818027,0,,,
818029,0,,,
818031,0,,,
818032,0,,,
818033,0,,,
818036,0,,,
818037,0,,,
818038,0,,,
818040,0,,,
818041,0,,,
818043,0,,,
818045,0,,,
818046,0,,,
818047,0,,,
818051,0,,,
818052,0,,,
818053,0,,,
818054,0,,,
818056,0,,,
818057,0,,,
818059,0,,,
818060,0,,,
818061,0,,,
818062,0,,,
818082,1,,,
818087,0,,,
818111,1,,,
818393,0,,,
818501,0,822079,,
818502,0,822078,,
818558,1,,,
818567,1,,,
818571,0,,,
818608,0,,,
818613,0,,,
818691,1,,,
818695,0,,,
818696,0,,,
818697,0,,,
818698,0,,,
818817,1,,,
818844,0,822078,,
818845,0,822079,,
818961,1,,,
818964,1,,,
818967,0,,,
818968,0,822079,,
818977,1,,,
818991,1,,,
818998,1,,,
819015,1,,,
819017,1,,,
819022,1,,,
819025,1,,,
819027,1,,,
819028,0,,,
819040,0,822078,,
819043,0,822078,,
819044,0,822079,,
819055,0,,,
819095,0,,,
819096,0,822079,,
819103,0,,,
819108,0,,,
819109,0,,,
819113,0,,,
819115,0,,,
819128,0,822079,,
819129,0,822079,,
819132,0,,,
819164,0,822079,,
819167,0,,,
819171,0,,,
819173,0,822079,,
819174,0,822079,,
819179,0,,,
819182,0,,,
819183,0,,,
819188,0,822079,,
819190,0,822079,,
819191,0,822078,,
819195,0,,,
819196,0,,,
819197,0,822079,,
819198,0,,,
819199,0,,,
819201,0,822079,,
819207,0,,,
819218,1,,,
819281,0,822079,,
819321,0,822078,,
819324,0,822078,,
819328,0,822079,,
819332,0,822078,,
819377,0,822078,,
819383,0,822079,,
819391,1,,,
819392,1,,,
819411,0,822079,,
819421,0,822078,,
819423,0,822079,,
819426,0,822078,,
819448,1,,,
